City,Lat,Lng,Max_Temp,Humidity,Speed,Date,Cloudiness,Country
udachnyy,66.4167,112.4,19.69,96,4.16,04/24/2021,100,RU
mount isa,-20.7333,139.5,69.8,30,5.75,04/24/2021,8,AU
ambanja,-13.6833,48.45,75.87,90,2.98,04/24/2021,68,MG
vostok,46.4856,135.8833,29.03,44,10.76,04/24/2021,57,RU
ahipara,-35.1667,173.1667,59.05,82,8.79,04/24/2021,69,NZ
selfoss,63.9331,-20.9971,45.0,91,11.99,04/24/2021,100,IS
kununurra,-15.7667,128.7333,60.8,67,3.44,04/24/2021,8,AU
kurchum,48.5722,83.6542,37.72,48,1.68,04/24/2021,42,KZ
kushiro,42.975,144.3747,42.75,90,8.34,04/24/2021,99,JP
general pico,-35.6566,-63.7568,67.77,45,8.77,04/24/2021,42,AR
iquitos,-3.7481,-73.2472,89.6,62,4.61,04/24/2021,75,PE
andenes,69.3143,16.1194,36.0,60,13.8,04/24/2021,91,NO
tamala,52.541,43.2515,40.82,78,15.52,04/24/2021,95,RU
avera,33.194,-82.5271,64.4,97,10.36,04/24/2021,90,US
byron bay,-28.65,153.6167,54.0,94,5.59,04/24/2021,83,AU
christchurch,-43.5333,172.6333,46.99,100,3.44,04/24/2021,90,NZ
tuensang,26.2833,94.8333,65.44,49,2.13,04/24/2021,23,IN
olovo,44.13,18.5828,59.0,38,5.75,04/24/2021,0,BA
weyburn,49.6668,-103.8511,39.2,33,6.91,04/24/2021,49,CA
sao felix do xingu,-6.6447,-51.995,85.28,71,1.32,04/24/2021,73,BR
horsham,51.064,-0.3272,53.6,37,13.8,04/24/2021,0,GB
alyangula,-13.8483,136.4192,69.8,100,8.48,04/24/2021,99,AU
nome,64.5011,-165.4064,33.8,75,3.62,04/24/2021,20,US
vangaindrano,-23.35,47.6,70.54,90,1.9,04/24/2021,28,MG
kangaatsiaq,68.3065,-53.4641,33.26,81,11.9,04/24/2021,62,GL
srednekolymsk,67.45,153.6833,10.98,95,8.81,04/24/2021,100,RU
vestmannaeyjar,63.4427,-20.2734,44.6,87,19.57,04/24/2021,90,IS
surt,31.2089,16.5887,63.32,77,16.33,04/24/2021,9,LY
aksehir,38.3575,31.4164,60.04,53,3.6,04/24/2021,93,TR
san fernando,15.0286,120.6898,75.2,88,2.3,04/24/2021,40,PH
wawa,9.9022,4.4192,88.29,46,6.96,04/24/2021,99,NG
faanui,-16.4833,-151.75,80.01,74,7.63,04/24/2021,100,PF
alice springs,-23.7,133.8833,46.4,71,8.05,04/24/2021,2,AU
yerbogachen,61.2767,108.0108,29.07,95,1.7,04/24/2021,100,RU
mariental,-24.6333,17.9667,74.01,18,10.07,04/24/2021,0,NA
manono,-7.3,27.4167,73.42,84,3.78,04/24/2021,100,CD
wadi maliz,36.4681,8.5495,64.4,68,5.75,04/24/2021,40,TN
malia,35.2833,25.4667,63.0,88,5.75,04/24/2021,75,GR
santiago del estero,-27.7951,-64.2615,75.88,52,11.12,04/24/2021,70,AR
oyama,36.3,139.8,63.0,87,2.3,04/24/2021,20,JP
yumen,40.2833,97.2,50.31,33,8.01,04/24/2021,94,CN
carbonia,39.1672,8.5222,64.4,63,5.75,04/24/2021,40,IT
xingyi,24.1877,102.817,64.63,28,2.84,04/24/2021,11,CN
nishihara,26.1842,127.7558,68.0,88,11.5,04/24/2021,75,JP
shieli,44.1667,66.75,64.38,22,10.96,04/24/2021,4,KZ
lira,2.235,32.9097,68.43,89,4.29,04/24/2021,86,UG
akdagmadeni,39.6603,35.8836,54.5,57,5.28,04/24/2021,81,TR
bambanglipuro,-7.95,110.2833,75.52,82,3.36,04/24/2021,9,ID
pingliang,35.5392,106.6861,45.75,88,0.54,04/24/2021,100,CN
caravelas,-17.7125,-39.2481,81.43,67,5.21,04/24/2021,46,BR
tura,25.5198,90.2201,75.6,35,4.09,04/24/2021,76,IN
kyabe,9.4515,18.9449,93.56,32,2.53,04/24/2021,60,TD
lafayette,30.2335,-92.0668,81.0,69,17.27,04/24/2021,75,US
kailua,21.4022,-157.7394,78.8,68,11.5,04/24/2021,20,US
hauterive,46.0901,3.4459,71.6,35,10.36,04/24/2021,0,FR
lyskovo,56.0328,45.0422,49.08,76,16.51,04/24/2021,100,RU
port macquarie,-31.4333,152.9167,53.01,91,1.99,04/24/2021,28,AU
mocuba,-16.8392,36.9856,69.39,91,4.07,04/24/2021,21,MZ
north bend,43.4065,-124.2243,55.0,76,10.36,04/24/2021,90,US
tigil,57.8,158.6667,27.48,97,5.26,04/24/2021,100,RU
half moon bay,37.4636,-122.4286,61.0,71,8.05,04/24/2021,75,US
adrar,20.5022,-10.0711,96.28,9,13.02,04/24/2021,2,MR
suntar,62.1444,117.6319,33.1,90,3.09,04/24/2021,60,RU
otofuke,42.9917,143.2003,49.35,81,3.09,04/24/2021,100,JP
channel-port aux basques,47.5702,-59.1367,35.65,93,17.67,04/24/2021,100,CA
longjiang,47.3303,123.1836,46.27,26,6.69,04/24/2021,2,CN
bonthe,7.5264,-12.505,84.61,66,13.49,04/24/2021,29,SL
fuxin,42.0156,121.6589,44.82,51,6.04,04/24/2021,39,CN
hami,42.8,93.45,50.92,20,1.99,04/24/2021,37,CN
oranjestad,12.524,-70.027,86.0,66,26.46,04/24/2021,40,AW
las cruces,32.3123,-106.7783,75.2,15,3.44,04/24/2021,1,US
gilgit,35.9221,74.3087,54.21,36,3.53,04/24/2021,33,PK
rauma,61.1272,21.5113,35.6,75,11.5,04/24/2021,75,FI
mareeba,-17.0,145.4333,73.99,100,12.66,04/24/2021,90,AU
mattru,7.6244,-11.8332,86.52,60,8.52,04/24/2021,53,SL
nipawin,53.3668,-104.0009,32.0,51,5.75,04/24/2021,75,CA
omsukchan,62.5333,155.8,-10.37,99,4.83,04/24/2021,52,RU
ohara,35.25,140.3833,60.8,100,3.44,04/24/2021,20,JP
evensk,61.95,159.2333,18.0,80,10.8,04/24/2021,100,RU
severo-yeniseyskiy,60.3725,93.0408,29.71,98,1.03,04/24/2021,100,RU
chapais,49.7834,-74.8492,48.2,37,12.66,04/24/2021,20,CA
sakakah,29.9697,40.2064,89.6,9,3.44,04/24/2021,40,SA
kosh-agach,50.0,88.6667,16.0,71,5.68,04/24/2021,96,RU
tuatapere,-46.1333,167.6833,50.0,75,4.0,04/24/2021,88,NZ
ayan,56.45,138.1667,23.79,74,11.27,04/24/2021,87,RU
turbat,26.0023,63.044,82.87,61,7.05,04/24/2021,6,PK
challans,46.8436,-1.8749,73.4,27,12.66,04/24/2021,0,FR
kahului,20.8947,-156.47,71.6,100,12.66,04/24/2021,40,US
port augusta,-32.5,137.7667,57.2,88,5.75,04/24/2021,0,AU
ballina,-28.8667,153.5667,54.0,94,6.2,04/24/2021,90,AU
klyuchi,52.2667,79.1667,40.69,41,1.52,04/24/2021,2,RU
baherden,38.4362,57.4316,73.38,47,7.7,04/24/2021,100,TM
lazaro cardenas,17.9583,-102.2,85.68,50,10.02,04/24/2021,92,MX
golden gate,26.1879,-81.6951,90.0,62,19.57,04/24/2021,40,US
besancon,47.2488,6.0182,61.0,43,4.14,04/24/2021,2,FR
campbell river,50.0163,-125.2446,48.99,87,10.36,04/24/2021,90,CA
macomb,40.4592,-90.6718,62.01,63,6.91,04/24/2021,1,US
olafsvik,64.8945,-23.7142,44.94,83,16.89,04/24/2021,100,IS
vila do maio,15.1333,-23.2167,75.2,57,19.57,04/24/2021,75,CV
nong chik,6.8436,101.178,78.75,83,8.86,04/24/2021,100,TH
kuala terengganu,5.3302,103.1408,77.0,94,3.44,04/24/2021,40,MY
maxixe,-23.8597,35.3472,70.56,81,6.82,04/24/2021,0,MZ
mitsamiouli,-11.3847,43.2844,80.47,78,10.76,04/24/2021,89,KM
wau,7.7029,27.9953,88.52,42,2.15,04/24/2021,51,SS
sabile,57.0458,22.5726,34.02,82,11.32,04/24/2021,100,LV
te anau,-45.4167,167.7167,46.08,95,7.25,04/24/2021,79,NZ
charters towers,-20.1,146.2667,65.17,90,9.17,04/24/2021,100,AU
spartanburg,34.9496,-81.9321,54.0,94,6.91,04/24/2021,90,US
tuy hoa,13.0833,109.3,78.42,84,3.02,04/24/2021,14,VN
aksu,41.1231,80.2644,57.34,29,4.79,04/24/2021,33,CN
wajima,37.4,136.9,53.8,78,8.16,04/24/2021,100,JP
hervey bay,-25.2986,152.8535,61.0,85,1.01,04/24/2021,0,AU
kulhudhuffushi,6.6221,73.07,83.75,72,3.83,04/24/2021,66,MV
ust-omchug,61.15,149.6333,-9.11,99,4.74,04/24/2021,75,RU
kalmunai,7.4167,81.8167,80.71,75,3.13,04/24/2021,43,LK
xai-xai,-25.0519,33.6442,70.43,77,8.16,04/24/2021,12,MZ
seymchan,62.8833,152.4333,-5.71,98,2.42,04/24/2021,62,RU
strabychovo,48.3925,22.5431,42.01,51,3.76,04/24/2021,87,UA
port hedland,-20.3167,118.5667,68.0,64,8.05,04/24/2021,0,AU
karasburg,-28.0167,18.75,76.93,17,8.16,04/24/2021,1,NA
warman,52.3168,-106.5679,39.2,30,8.05,04/24/2021,20,CA
martinsburg,39.4562,-77.9639,63.0,31,8.05,04/24/2021,1,US
zyrardow,52.0488,20.446,44.01,96,6.91,04/24/2021,80,PL
bosobolo,4.1833,19.9,75.92,73,1.9,04/24/2021,27,CD
trairi,-3.2778,-39.2689,81.28,85,10.45,04/24/2021,63,BR
deputatskiy,69.3,139.9,4.17,87,3.49,04/24/2021,99,RU
kaseda,31.4167,130.3167,60.46,82,5.64,04/24/2021,22,JP
iisalmi,63.5592,27.1907,39.2,75,1.14,04/24/2021,0,FI
san rafael,-34.6177,-68.3301,67.41,45,7.58,04/24/2021,6,AR
saint-pierre,-21.3393,55.4781,78.8,83,28.77,04/24/2021,75,RE
banda aceh,5.5577,95.3222,80.19,74,9.98,04/24/2021,100,ID
belaya gora,68.5333,146.4167,-8.75,100,3.85,04/24/2021,95,RU
jaguaribe,-5.8906,-38.6219,89.82,50,5.01,04/24/2021,100,BR
kysyl-syr,63.8986,122.7617,33.73,92,5.57,04/24/2021,100,RU
itaqui,-29.1253,-56.5531,69.73,84,5.53,04/24/2021,100,BR
chapada dos guimaraes,-15.4606,-55.7497,91.4,38,6.91,04/24/2021,0,BR
bam,29.106,58.357,80.49,21,13.58,04/24/2021,10,IR
tierralta,8.1736,-76.0592,88.11,63,5.46,04/24/2021,40,CO
saedinenie,42.2667,24.55,54.0,71,2.3,04/24/2021,75,BG
hofn,64.2539,-15.2082,47.01,80,5.93,04/24/2021,100,IS
kawardha,22.0167,81.25,86.72,17,5.91,04/24/2021,55,IN
brae,60.3964,-1.353,44.6,76,8.05,04/24/2021,62,GB
kasulu,-4.5767,30.1025,77.0,78,0.54,04/24/2021,20,TZ
westport,41.1415,-73.3579,70.0,30,16.11,04/24/2021,1,US
araouane,18.9048,-3.5265,97.9,8,4.38,04/24/2021,11,ML
aguilas,37.4063,-1.5829,62.01,65,1.01,04/24/2021,80,ES
atherton,53.5237,-2.4935,62.01,47,1.01,04/24/2021,55,GB
bushenyi,-0.5853,30.2114,61.45,95,2.68,04/24/2021,90,UG
abu kamal,34.4506,40.9171,85.69,15,6.49,04/24/2021,96,SY
rovaniemi,66.5,25.7167,32.0,93,10.36,04/24/2021,90,FI
dundalk,39.2507,-76.5205,66.2,42,9.22,04/24/2021,1,US
robore,-18.3333,-59.75,86.0,66,5.75,04/24/2021,90,BO
tonder,54.9331,8.8667,44.01,66,11.01,04/24/2021,15,DK
dibulla,11.2725,-73.3091,85.5,64,9.66,04/24/2021,90,CO
kaoma,-14.7833,24.8,68.27,46,4.34,04/24/2021,33,ZM
benemerito de las americas,16.5167,-90.6439,97.39,34,4.56,04/24/2021,79,MX
sakyla,61.0333,22.3333,35.6,75,11.5,04/24/2021,75,FI
garissa,-0.4536,39.6401,87.64,49,14.63,04/24/2021,85,KE
gayny,60.3071,54.3241,41.81,92,8.25,04/24/2021,100,RU
tomatlan,19.9333,-105.25,92.7,25,8.01,04/24/2021,78,MX
isla mujeres,21.2311,-86.731,86.0,70,11.5,04/24/2021,75,MX
hillsborough,37.5741,-122.3794,61.0,55,5.75,04/24/2021,75,US
minggang,32.4586,114.0486,54.93,93,11.25,04/24/2021,100,CN
moron,-34.6534,-58.6198,73.99,62,5.01,04/24/2021,26,AR
muros,42.7762,-9.0603,66.99,74,4.0,04/24/2021,100,ES
mehamn,71.0357,27.8492,33.01,71,8.28,04/24/2021,100,NO
gizo,-8.103,156.8419,82.15,75,5.84,04/24/2021,86,SB
vagur,61.4732,-6.8119,46.81,79,3.04,04/24/2021,100,FO
havoysund,70.9963,24.6622,30.2,80,11.5,04/24/2021,100,NO
valparaiso,-33.0393,-71.6273,69.8,52,3.44,04/24/2021,0,CL
burnie,-41.0667,145.9167,46.99,89,1.99,04/24/2021,68,AU
hobyo,5.3505,48.5268,84.33,69,12.91,04/24/2021,41,SO
mahon,39.8885,4.2658,60.8,63,8.05,04/24/2021,0,ES
makat,47.6469,53.3463,58.55,56,15.88,04/24/2021,82,KZ
octeville,49.6261,-1.6435,52.0,66,19.57,04/24/2021,0,FR
aklavik,68.2191,-135.0107,33.8,60,2.3,04/24/2021,20,CA
preston,53.7667,-2.7167,62.01,48,16.11,04/24/2021,20,GB
liwale,-9.7667,37.9333,69.75,97,7.11,04/24/2021,99,TZ
gurupi,-11.7292,-49.0686,88.7,52,1.86,04/24/2021,7,BR
puerto santander,8.3636,-72.4063,89.6,55,13.8,04/24/2021,40,CO
marzuq,14.4,46.4667,72.64,67,8.14,04/24/2021,20,YE
karatau,43.1667,70.4667,52.79,61,5.17,04/24/2021,45,KZ
natal,-5.795,-35.2094,84.2,74,14.97,04/24/2021,75,BR
nalut,30.3333,10.85,73.36,28,14.88,04/24/2021,0,LY
henties bay,-22.116,14.2845,65.34,82,7.05,04/24/2021,3,NA
gusoeni,44.7333,24.1167,51.8,66,8.05,04/24/2021,0,RO
nkan,0.3833,9.7833,78.8,89,2.3,04/24/2021,20,GA
santa fe,-31.6333,-60.7,73.0,63,5.01,04/24/2021,23,AR
boulder,40.0833,-105.3505,50.0,66,2.51,04/24/2021,1,US
plattsburgh,44.6995,-73.4529,71.6,20,10.36,04/24/2021,75,US
shenzhen,22.5455,114.0683,75.99,97,5.26,04/24/2021,17,CN
basse,52.5518,9.5069,51.8,43,11.5,04/24/2021,57,DE
bisho,-32.8472,27.4422,64.4,88,5.75,04/24/2021,0,ZA
ekhabi,53.5102,142.9671,22.73,85,10.04,04/24/2021,15,RU
dali,25.7,100.1833,58.35,51,5.26,04/24/2021,1,CN
uspenka,48.3903,39.1619,46.51,63,9.26,04/24/2021,81,UA
buraydah,26.326,43.975,87.8,18,8.05,04/24/2021,20,SA
bakchar,57.0186,82.0711,33.85,91,3.53,04/24/2021,70,RU
bolgatanga,10.7856,-0.8514,92.21,34,11.03,04/24/2021,50,GH
wladyslawowo,54.7909,18.4009,41.0,38,10.36,04/24/2021,0,PL
nabire,-3.3667,135.4833,74.53,95,4.47,04/24/2021,100,ID
blagoyevo,63.3667,47.9167,46.96,64,7.11,04/24/2021,34,RU
camana,-16.6228,-72.7111,71.02,71,9.8,04/24/2021,86,PE
krutinka,56.0055,71.5113,41.77,50,9.35,04/24/2021,100,RU
maniwaki,46.3834,-75.966,66.2,26,10.36,04/24/2021,44,CA
mosetse,-20.75,26.65,69.24,26,4.65,04/24/2021,0,BW
